Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
359,-14.610686,2.083969,-10.305343,-0.219483,-1.019535,-0.044190
360,-15.389313,1.916030,-9.083969,-0.225587,-1.006596,-0.037598
361,-15.732823,1.809160,-7.702290,-0.239503,-1.008793,-0.047608
362,-15.312977,3.877862,-8.732825,-0.263673,-0.983402,-0.078858
363,-14.977099,4.648855,-8.854961,-0.271730,-0.963871,-0.087891
364,-15.106871,5.969466,-8.694657,-0.269288,-0.949222,-0.092286
365,-14.862596,6.824427,-7.908397,-0.264405,-0.938480,-0.096924
366,-14.564885,7.519084,-6.748092,-0.256593,-0.934085,-0.103760
367,-13.145039,7.938931,-1.862595,-0.280030,-0.952884,-0.116456
368,-13.244275,6.923664,-4.992366,-0.283204,-0.959476,-0.107666
369,-13.389313,6.809160,-9.244275,-0.261720,-0.945804,-0.106202
370,-12.175572,6.900763,-13.488549,-0.245118,-0.925541,-0.107666
371,-10.427481,6.526717,-16.045801,-0.221436,-0.928714,-0.112549
372,-8.702290,4.732824,-10.473283,-0.189698,-0.935306,-0.096924
373,-8.923664,3.916030,-6.992366,-0.196534,-0.951175,-0.107178
374,-9.305344,3.374046,-4.396946,-0.216309,-0.956058,-0.106202
