DATA;DATE_TIME;TEMPERATURE;GAS_PRESENCE;POS(XYZ);VELOCITY(XYZ)
DATA;02/06/2023 23:20:45;28.7;False;[1.0627358176787254,-0.7725860906413119,0.029383169655160468];[0.003396009701549458, -0.007170027149386236, -0.0010285080379063742]
DATA;02/06/2023 23:20:46;28.69;False;[1.0627358176787254,-0.7725860906413119,0.029383169655160468];[0.0033307434981955926, -0.007227000352118474, -0.0008225652920583609]
DATA;02/06/2023 23:20:47;28.69;False;[1.0627358176787254,-0.7725860906413119,0.029383169655160468];[0.0032852933363036073, -0.007235102768187569, -0.0009274349724889097]
DATA;02/06/2023 23:20:48;28.69;False;[1.0627358176787254,-0.7725860906413119,0.029383169655160468];[0.0032199376203299493, -0.007289664983162858, -0.0007019872893611808]
DATA;02/06/2023 23:20:49;28.7;False;[1.0627358176787254,-0.7725860906413119,0.029383169655160468];[0.0031996687073646444, -0.00731665316256905, -0.00047823285308659885]
DATA;02/06/2023 23:20:50;28.7;False;[1.0786717039846658,-0.8091915840493374,0.026918336133332037];[0.0031870504891932583, -0.007319734698536671, -0.0005139972007344359]
DATA;02/06/2023 23:20:51;28.7;False;[1.0945961709679586,-0.8457951944705537,0.024352612710258056];[0.0031911635883478963, -0.0073188286335015215, -0.0005012208952471409]
DATA;02/06/2023 23:20:52;28.7;False;[1.0945961709679586,-0.8457951944705537,0.024352612710258056];[0.003208860707925654, -0.007278905687336133, -0.0008489669911063841]
DATA;02/06/2023 23:20:53;28.72;False;[1.0945961709679586,-0.8457951944705537,0.024352612710258056];[0.002969095815782491, -0.007309395005692961, -0.0013255997463206466]
DATA;02/06/2023 23:20:54;28.72;False;[1.0975274273474787,-0.8530513883976517,0.02269267725071115];[0.0029312563795200184, -0.007256193927097976, -0.0016599354595469053]
DATA;02/06/2023 23:20:55;28.73;False;[1.109264549743805,-0.8820495647367325,0.015958815628906182];[0.0029347333397513687, -0.0072470979361648515, -0.0016931957146704881]
DATA;02/06/2023 23:20:56;28.73;False;[1.1239297725001534,-0.9182616983697263,0.007379196098175932];[0.0029327816642736033, -0.007239926634577405, -0.0017269203906459666]
DATA;02/06/2023 23:20:57;28.77;False;[1.1239297725001534,-0.9182616983697263,0.007379196098175932];[0.002968125273383756, -0.00724621672473259, -0.0016378569961073323]
DATA;02/06/2023 23:20:58;28.75;False;[1.1239297725001534,-0.9182616983697263,0.007379196098175932];[0.00288437286746571, -0.0072577449743133375, -0.001733646748691504]
DATA;02/06/2023 23:20:59;28.77;False;[1.1239297725001534,-0.9182616983697263,0.007379196098175932];[0.003146134727093907, -0.007149199866109658, -0.0017293864673296024]
DATA;02/06/2023 23:21:00;28.77;False;[1.1239297725001534,-0.9182616983697263,0.007379196098175932];[0.0030846685992160497, -0.007093257737239148, -0.002042183710173721]
DATA;02/06/2023 23:21:01;28.78;False;[1.1239297725001534,-0.9182616983697263,0.007379196098175932];[0.0030980424398578087, -0.006898638240728549, -0.002609774600303463]
DATA;02/06/2023 23:21:02;28.8;False;[1.1330182239731723,-0.9390001176820164,-0.0005779281000934428];[0.003029107232746282, -0.006920144987052166, -0.0026336481789890802]
DATA;02/06/2023 23:21:03;28.8;False;[1.1481412685184271,-0.9736260970272042,-0.013705550041809886];[0.003020265464943257, -0.0069256095857729, -0.002629434993817714]
